0	4	203	3	1	7	2	27	4	4.157200811359027
1	4	209	3	2	9	3	29	6	4.889427740058196
2	13	251	2	1	8	3	18	21	4.024442538593482
3	0	158	4	2	7	3	20	4	3.967741935483871
4	6	211	3	2	8	3	35	1	4.680327868852459
5	0	132	4	2	6	1	18	3	3.1478696741854635
6	0	137	4	2	6	1	27	2	3.214765100671141
7	0	185	4	1	7	3	18	4	3.887473460721868
8	0	148	4	2	8	3	18	5	4.030549898167006
9	0	75	4	2	8	3	38	1	4.78494623655914
10	3	159	2	1	6	3	18	4	2.97951582867784
11	2	160	3	3	8	3	0	2	4.679245283018868
12	0	158	4	1	5	3	18	2	2.879166666666667
13	0	164	4	2	4	3	23	1	2.912087912087912
14	0	230	4	1	7	3	28	1	3.8753623188405797
15	0	131	4	3	6	3	28	2	3.9066666666666667
16	0	131	4	2	5	3	25	2	3.0
17	0	157	4	2	7	3	20	4	3.707482993197279
18	0	131	4	2	5	2	20	1	3.1635220125786163
19	0	159	4	3	7	3	0	1	4.672064777327935
20	5	146	3	1	7	3	21	4	3.050909090909091
21	0	226	4	2	7	3	28	2	3.629526462395543
22	0	158	4	2	5	3	20	2	3.1363636363636362
23	0	170	4	1	8	3	23	3	2.8549848942598186
24	0	161	4	2	6	1	18	3	3.3798882681564244
25	0	131	4	2	5	3	20	1	3.23972602739726
26	0	138	4	2	6	3	27	2	3.3164556962025316
27	3	165	3	1	5	3	28	4	3.183050847457627
28	6	221	2	2	7	3	20	4	3.375
29	2	199	2	1	5	3	19	2	3.2011605415860735
30	0	159	4	3	7	3	0	1	4.663934426229508
31	0	230	4	1	7	3	28	2	3.8316151202749142
32	0	131	4	3	7	4	38	1	4.577464788732394
33	202	236	2	0	6	3	15	236	2.048997772828508
34	0	165	4	2	4	2	23	1	2.907608695652174
35	0	138	4	2	4	3	23	1	2.902097902097902
36	0	138	4	2	4	3	23	1	2.9027777777777777
37	0	158	4	1	5	3	18	2	3.05420054200542
38	0	235	4	1	6	3	27	3	3.4940047961630696
39	0	160	4	1	6	1	20	2	3.6609442060085837
40	0	165	4	2	4	2	23	1	2.9135135135135135
41	0	161	4	2	6	3	28	2	3.491596638655462
42	5	158	2	1	5	3	18	6	2.7205479452054795
43	30	237	2	1	7	3	18	24	2.1944045911047345
44	0	232	4	1	7	3	25	6	3.617283950617284
45	54	237	2	1	7	3	17	50	2.697856598846698
46	0	133	4	2	6	3	27	1	3.673758865248227
47	3	221	2	1	5	4	19	3	3.073558648111332
48	0	165	4	2	4	2	23	1	2.907608695652174
49	2	159	2	1	7	1	24	4	3.681728880157171
50	7	232	2	1	6	3	19	5	3.237858719646799
51	0	166	4	1	7	2	19	16	3.4823252160251377
52	0	224	4	2	6	3	28	1	3.4219269102990033
53	0	131	4	2	6	3	34	1	4.24113475177305
54	0	131	4	1	5	3	18	8	2.7338129496402876
55	0	131	4	2	5	4	18	2	3.062717770034843
56	2	126	3	2	6	4	27	2	4.021739130434782
57	30	238	2	1	6	3	17	24	2.9548844146159583
58	0	159	4	3	7	3	0	1	4.66530612244898
59	0	164	4	2	7	2	26	2	3.03768115942029
60	0	136	4	3	7	2	28	1	3.84
61	0	213	4	1	6	2	19	3	2.2767857142857144
62	0	129	4	3	7	3	0	1	5.070921985815603
63	0	132	4	2	6	3	28	1	3.8206521739130435
64	0	157	4	1	5	3	18	2	2.95
65	0	160	4	2	5	3	20	2	3.2734375
66	0	128	4	1	5	3	20	1	3.019607843137255
67	0	131	4	2	5	3	27	1	2.8550724637681157
68	0	234	4	2	7	3	26	4	4.212157330154946
69	45	224	2	1	7	3	18	40	2.4321174185193177
70	0	242	4	1	6	3	18	7	2.996996996996997
71	0	131	4	2	6	3	19	2	3.301775147928994
72	0	198	4	1	6	3	19	2	3.1994949494949494
73	0	248	4	1	6	2	16	18	3.092902832774901
74	0	160	4	1	6	3	18	4	3.369077306733167
75	0	174	4	1	6	1	19	74	2.2539184952978055
76	0	160	4	1	6	3	18	2	3.3196881091617936
77	0	127	4	4	7	4	39	1	5.171102661596958
78	2	106	3	3	7	3	0	2	5.104
79	0	159	4	1	5	2	18	2	2.889908256880734
80	0	174	4	1	6	1	19	3	3.0623229461756374
81	0	165	4	2	7	2	27	3	3.587121212121212
82	0	161	4	2	6	3	28	1	3.491596638655462
83	0	131	4	5	8	3	0	1	6.149659863945578
84	41	235	2	1	6	3	18	36	2.492626979792463
85	0	130	4	4	7	3	39	1	5.154320987654321
86	0	131	4	2	5	2	20	1	3.1486486486486487
87	0	130	4	2	5	4	20	1	3.1448275862068966
88	0	105	4	4	8	2	39	1	5.8125
89	2	105	3	4	8	3	39	2	5.317180616740088
90	0	230	4	2	8	3	28	1	4.42239467849224
91	0	105	4	6	9	2	0	1	7.170940170940171
92	0	131	4	5	9	2	49	1	6.293706293706293
93	0	160	4	2	6	3	18	3	3.3162162162162163
94	0	134	4	2	6	3	18	4	3.3806451612903228
95	0	159	4	1	6	3	22	2	3.697604790419162
